Time,st
1474741043462,9680
1474741044934,9680
1474741045682,9680
1474741046422,9680
1474741047825,9680
1474741048517,9680
1474741049887,9680
1474741050556,9680
1474741051916,9680
1474741052628,9680
1474741054139,9680
1474741054934,9680
1474741055738,9680
1474741056550,9680
1474741058170,9680
1474741058955,9680
1474741059721,9680
1474741061195,9680
1474741061911,9680
1474741062635,9680
1474741064148,9680
1474741064872,9680
1474741065606,9680
1474741067131,9680
1474741067863,9680
1474741068604,9680
1474741070069,9680
1474741070793,9680
1474741072201,9680
1474741072895,9680
1474741074251,9680
1474741074935,9680
1474741076297,9680
1474741076989,9680
1474741077693,9680
1474741079140,9680
1474741079880,9680
1474741081367,9680
1474741082076,9680
1474741082793,9680
1474741084273,9680
1474741085029,9680
1474741085753,9680
1474741087155,9680
1474741087872,9680
1474741089313,9680
1474741090050,9680
1474741091454,9680
1474741092147,9680
1474741092864,9680
1474741094376,9680
1474741095114,9680
1474741095832,9680
1474741097288,9680
1474741098006,9680
1474741099462,9680
1474741100163,9680
1474741101548,9680
1474741102241,9680
1474741102959,9680
1474741104399,9680
1474741105116,9680
1474741106556,9680
1474741107257,9680
1474741107975,9680
1474741109486,9680
1474741110241,9680
1474741110981,9680
1474741112430,9680
1474741113117,9680
1474741114462,9680
1474741115123,9680
1474741116493,9680
1474741117219,9680
1474741118706,9680
1474741119462,9680
1474741120226,9680
1474741121706,9680
1474741122456,9680
1474741123225,9680
1474741124675,9680
1474741125407,9680
1474741126178,9680
1474741127789,9680
1474741128573,9680
1474741129352,9680
1474741130855,9680
1474741131572,9680
1474741132282,9680
1474741133669,9680
1474741134391,9680
1474741135816,9680
1474741136564,9680
1474741137298,9680
1474741138725,9680
1474741139446,9680
1474741140910,9680
1474741141635,9680
1474741142377,9680
1474741143876,9680
1474741144627,9680
1474741145359,9680
1474741146746,9680
1474741147432,9680
1474741148801,9680
1474741149510,9680
1474741150981,9680
1474741151714,9680
1474741152432,9680
1474741153871,9680
1474741154596,9680
1474741156022,9680
1474741156762,9680
1474741157479,9680
1474741158911,9680
1474741159643,9680
1474741161140,9680
1474741161872,9680
1474741162604,9680
1474741164060,9680
1474741164797,9680
1474741165511,9680
1474741166942,9680
1474741167675,9680
1474741169107,9680
1474741169848,9680
1474741170597,9680
1474741172082,9680
1474741172832,9680
1474741173556,9680
1474741175014,9680
1474741175738,9680
1474741177202,9680
1474741177939,9680
1474741178682,9680
1474741180203,9680
1474741180974,9680
1474741181745,9680
1474741183273,9680
1474741184030,9680
1474741184770,9680
1474741186233,9680
1474741186958,9680
1474741187666,9680
1474741189006,9690
1474741190320,9692
1474741190997,9694
1474741192336,9695
1474741193035,9697
1474741193731,9699
1474741195108,9701
1474741195808,9702
1474741197217,9704
1474741197911,9705
1474741199289,9707
1474741199982,9709
1474741201351,9711
1474741202046,9713
1474741203407,9714
1474741204076,9714
1474741205407,9714
1474741206074,9714
1474741207416,9714
1474741208108,9714
1474741209493,9714
1474741210194,9714
1474741210888,9714
1474741212241,9714
1474741212903,9714
1474741214210,9714
1474741215486,9714
1474741216132,9714
1474741217511,9714
1474741218233,9714
1474741219005,9714
1474741220501,9714
1474741221227,9714
1474741222620,9714
1474741223297,9714
1474741224596,9714
1474741225218,9714
1474741226463,9714
1474741227140,9714
1474741228682,9714
1474741229518,9714
1474741230383,9714
1474741231251,9714
1474741232100,9714
1474741233769,9714
1474741234596,9714
1474741235401,9714
1474741236170,9714
1474741237667,9724
1474741238367,9726
1474741239691,9727
1474741240337,9729
1474741241622,9731
1474741242273,9733
1474741243619,9733
1474741244336,9735
1474741245880,9735
1474741246701,9735
1474741247501,9735
1474741248297,9735
1474741249825,9735
1474741250566,9735
1474741251281,9735
1474741252717,9735
1474741253438,9735
1474741254864,9735
1474741255558,9735
1474741256934,9735
1474741257604,9735
1474741258896,9735
1474741259536,9735
1474741260817,9735
1474741261454,9735
1474741262745,9735
1474741263383,9735
1474741264770,9735
1474741265478,9735
1474741266907,9735
1474741267643,9735
1474741269077,9735
1474741269770,9735
1474741270478,9735
1474741271971,9735
1474741272753,9735
1474741273501,9735
1474741275022,9735
1474741275777,9735
1474741276541,9735
1474741278003,9735
1474741278699,9735
1474741280124,9735
1474741280864,9735
1474741281627,9735
1474741283051,9735
1474741283754,9735
1474741285116,9735
1474741285785,9735
1474741287170,9735
1474741287924,9735
1474741288692,9735
1474741290234,9735
1474741291013,9735
1474741291777,9735
1474741293243,9735
1474741293990,9735
1474741294757,9735
1474741296257,9735
1474741297005,9735
1474741297754,9735
1474741299171,9735
1474741299860,9735
1474741301281,9735
1474741301973,9735
1474741303369,9735
1474741304124,9735
1474741304934,9735
1474741305748,9735
1474741307351,9735
1474741308180,9735
1474741308982,9735
1474741310478,9735
1474741311241,9735
1474741312006,9735
1474741313526,9735
1474741314288,9735
1474741315068,9735
1474741315871,9735
1474741317432,9735
1474741318210,9735
1474741318997,9735
1474741320518,9735
1474741321258,9735
1474741321943,9735
1474741323375,9735
1474741324100,9735
1474741325533,9735
1474741326219,9735
1474741326927,9735
1474741328383,9735
1474741329100,9735
1474741330556,9735
1474741331282,9735
1474741331998,9735
1474741333422,9735
1474741334099,9735
1474741335495,9735
1474741336250,9735
1474741337021,9735
1474741338564,9735
1474741339375,9735
1474741340156,9735
1474741341627,9735
1474741342367,9735
1474741343123,9735
1474741344599,9735
1474741345352,9735
1474741346123,9735
1474741347549,9735
1474741348259,9735
1474741349801,9735
1474741350596,9735
1474741351351,9735
1474741352877,9735
1474741353651,9735
1474741354399,9735
1474741355919,9735
1474741356691,9735
1474741357424,9735
1474741358753,9735
1474741359407,9735
1474741360801,9735
1474741361550,9735
1474741362297,9735
1474741363780,9735
1474741364493,9735
1474741365919,9735
1474741366621,9735
1474741367305,9735
1474741368682,9735
1474741369399,9735
1474741370919,9735
1474741371707,9735
1474741372502,9735
1474741374068,9735
1474741374817,9735
1474741375518,9735
1474741376860,9735
1474741377525,9735
1474741378911,9735
1474741379667,9735
1474741380463,9735
